,epsilon_progress,nfe
0,0,0
1,3,100
2,13,1194
3,19,2289
4,46,3379
5,89,4468
6,137,5554
7,169,6637
8,191,7679
9,205,8726
10,212,9761
11,225,10778
12,236,11814
13,239,12852
14,245,13857
15,245,14860
16,250,15860
17,256,16876
18,261,17887
19,269,18948
20,274,20003
