,epsilon_progress,nfe
0,0,0
1,2,100
2,14,1100
3,97,2196
4,216,3295
5,305,4391
6,441,5482
7,522,6574
8,597,7666
9,638,8757
10,690,9851
11,765,11239
12,819,12521
13,858,13814
14,899,15101
15,942,16383
16,974,17674
17,1014,18956
18,1041,20243
